cell_ID,channel,index,abs_int,dff_int
cell_1,ch0,0,103.41792102001062,0.016526062940957906
cell_1,ch0,1,101.52018771028865,-0.002127332435945126
cell_1,ch0,2,100.2717372055959,-0.01439873050501306
cell_1,ch0,3,99.66743403577121,-0.020338609357593858
cell_1,ch0,4,96.64113688684257,-0.050085000464166446
cell_1,ch0,5,915.1639808748008,7.995423899925733
cell_1,ch0,6,998.5656986010271,8.81520463934274
cell_1,ch0,7,1130.7498671861165,10.114482860657258
cell_1,ch0,8,1126.6550380733133,10.074233545302635
cell_1,ch0,9,936.6301576058084,8.206421451448199
cell_1,ch0,10,908.2785549849477,7.927744963795022
cell_1,ch0,11,766.1499911457411,6.530720270144818
cell_1,ch0,12,652.3597485390472,5.4122415173598215
cell_1,ch0,13,565.9893748893218,4.5632809598960264
cell_1,ch0,14,500.1105896936426,3.9157384306535454
cell_1,ch0,15,448.15512661590225,3.4050524507983657
cell_1,ch0,16,406.19355409952186,2.9925994476420343
cell_1,ch0,17,375.44173897644765,2.6903305444671366
cell_1,ch0,18,350.01611475119535,2.4404143845154103
cell_1,ch0,19,330.67735080573755,2.250327817489788
cell_1,ch0,20,315.5054896405171,2.1011989997215
cell_1,ch0,21,298.69683017531435,1.935981595803936
cell_1,ch0,22,285.4140251460953,1.8054208828444114
cell_1,ch0,23,276.9852133876395,1.7225715396398067
cell_1,ch0,24,267.9103948999469,1.6333724006683994
cell_1,ch0,25,258.16840800425007,1.537615461381359
cell_1,ch0,26,248.74119001239598,1.4449524809691792
cell_1,ch0,27,238.95696830175314,1.3487804028963977
cell_1,ch0,28,231.0487869665309,1.2710484937801707
cell_1,ch0,29,221.07800602089605,1.1730426684923874
cell_1,ch0,30,214.04055250575527,1.1038694067953954
cell_1,ch0,31,206.11280325836728,1.025945158744894
cell_1,ch0,32,200.8096334336816,0.9738186966208686
cell_1,ch0,33,192.85930582610234,0.8956725190308203
cell_1,ch0,34,186.63299096865592,0.8344721848310431
cell_1,ch0,35,181.1290065521516,0.7803718552729297
cell_1,ch0,36,177.42208252169294,0.7439353764389156
cell_1,ch0,37,169.64963697538516,0.6675376554957295
cell_1,ch0,38,165.56428191960333,0.6273814635165241
cell_1,ch0,39,160.92801487515496,0.5818101907723727
cell_1,ch0,40,157.98344253585975,0.5528670975677681
cell_1,ch0,41,154.81724809633434,0.521745613627924
cell_1,ch0,42,150.82663361076678,0.4825206554028962
cell_1,ch0,43,151.61129803435452,0.4902333596360933
cell_1,ch0,44,146.21046573401807,0.4371469434645376
